news_title	news_url	text
Biology student has been denounced for crossing a weed plant with strawberries	https://thereisnews.com/biology-student-has-been-denounced-by-cross-a-marijuana-plant-with-strawberries3333/	A 24-year-old student in the Faculty of Biology in University of Miami has been brought to the authorities after exhibiting a crossbreeding of two plant species between strawberry and marijuana in his practical class. He has been fanatic of this plant for a long time. Also he says he hasn’t consumed any kind of marijuana “I’ve never smoked, nor one puff, I just think it’d be cool to create this crossbreeding of species, just like there are flavored tobacco products I think it would be a good idea to combine strawberry flavor with marijuana”. The teacher was very surprised so he came immediately to the principal’s office. In view of the situation, they decided to report to the authorities, so as not to jeopardize their image. The police have taken the plant, but it was not easy, many students were trying to take it “Some of my classmate gone crazy; they wanted to cut some leaves and make a joints. But police came too soon, just I hope justice can be merciful, I’m not a junkie, just I am a student and I have been trying to play God. Follow us on ADVICE: The content of There Is News is fiction, as you can read in our Legal Warning
Biology Student Gets Expelled For Crossing A Weed Plant With Strawberries	https://stoptheworld.net/biology-student-gets-expelled-for-crossing-a-weed-plant-with-strawberries/	A 20 year old student of biology was arrested yesterday for crossing a potent Indica strain of marijuana with Ozark Beauty strawberries. The unusual cross of weed and fruit was discovered by Professor Green at the University of Tampa. Speaking to CNN of the discovery, Green said: I came into class early to prepare for the lesson and i noticed a small row of stout little plants lined up on the window sill with what appeared to be strawberries growing on them. On closer inspection i realised that they were indeed a mix of marijuana and strawberries. I was shocked because we have a strong policy against drugs at this University. Apparently students found Mr Green asleep at his desk when they came into class, upon waking him one student heard the professor laughing uncontrollably and warning them not to eat the strawberries. 20 year old Jack MeHoff told CNN: I’m not a drug dealer or a heavy user of marijuana, i just thought it would be interesting to try and cross polinate the two plants and it worked. The weed has a strong taste of strawberry and the strawberries taste like a mix of weed with the sweetness of the berries. Jack has since been released from custody on community service and has vowed to stay away from weed for the duration of his remaining time at University. University President Phil McAvity said that they have a tight policy against any drugs and encouraged students to avoid using any mind altering substance. He said: The growing of cannabis or the use of any drug is strictly forbidden at The University Of Tampa. We are proud of the results of students here, the use of drugs impairs the learning experience. Apparently Mr HeHoff has been inundated with enquiries from fellow students about seeds, cuttings and the price of a punnet or container of strawberries. Let’s hope the Uni doesn’t start banning fruit!
Biology student crosses cannabis plant with strawberries	https://satirehub.com/biology-student-crosses-cannabis-plant-with-strawberries/	This Account has been suspended.
Melania Trump's Hotel Charges Were $174,000 For A Day Trip To Toronto: Records	https://www.huffingtonpost.in/entry/melania-trump-toronto-trip-spending_n_5bef52a4e4b0f32bd589a8d2	First lady Melania Trump’s hotel bills for a day trip to Toronto last year added up to an astonishing $174,000, according to federal expense documents reported by Quartz. She did not spend the night. The startling expenditures dwarfed the $95,000 cost of Trump’s stop at the InterContinental Cairo Semiramis, where she stayed for less than half a day at the end of her tour of Africa last month. Trump’s spokeswoman Stephanie Grisham implied in an email to Quartz that the first lady’s “advance team” was responsible for some of the costs. The team ensures “safety measures, medical care, communications, motorcade needs and logistics are all in place,” she wrote. They’re all “legally required for official travel,” she added. But federal expense documents reported separate, additional costs for the advance team that added up to $18,000, according to Quartz. The hotels are not identified in the expenses. They’re listed simply as “hotel rooms” under a heading of “miscellaneous foreign awardees” in the federal expense documents. There are six hotel charges ranging from nearly $12,000 to nearly $49,000, but the documents don’t offer details. (Other charges were for $16,000, $19,000, $35,000 and $43,000.) The first lady was in Toronto to help kick off the Invictus Games, which Britain’s Prince Harry started in 2014 for disabled vet athletes. A pool press report covering the Sept. 23 trip referred to stops that day at the Sheraton, the Ritz Carlton, a return to the Sheraton, and a get-together in the evening with Canadian Prime Minister Justin Trudeau to watch the opening ceremony of the games at the Air Canada Center. The first lady’s hotel stops included a 20-minute meeting with Prince Harry (at the Sheraton), and a reception later with 100 competing U.S. athletes, also at the Sheraton, where she gave a short speech, according to the pool report. Trump’s visits began just after noon and she returned just after midnight to Andrews Air Force Base. President Donald Trump was spending the weekend at his golf club in New Jersey. Grisham was infuriated by news reports about the bill from Melania Trump’s Cairo visit earlier this month, slamming “irresponsible” journalism after some initial reports said the first lady had spent the night. Grisham noted that Trump had, in fact, only spent some six hours in the hotel. The first lady’s trip to Toronto also incurred $21,000 in transportation costs, Quartz reported.
Melania Trump's hotel bill for a one-day trip to Canada cost $174,000	https://www.insider.com/melania-trump-hotel-bill-toronto-canada-174000-2018-11	Melania Trump spent $174,000 on hotels she didn't sleep in on a 12-hour trip to Canada. The hotel bills don't include her staff or logistics team, who had $18,000 total in hotel costs. A one-day trip to Canada by First Lady Melania Trump cost US taxpayers $174,000, according to government spending documents reviewed by Quartz. On September 23, 2017, Trump took a 12-hour trip to visit the Invictus Games, which took place a short drive away from Toronto. There, she met Canadian Prime Minister Justin Trudeau as well as Prince Harry. She stopped by two hotels at the time: the Ritz Carlton and Sheraton Centre Toronto Hotel. Read more: Melania Trump spent $95,000 on a hotel during a one-day visit to Cairo, and she didn't even sleep there. Stephanie Grisham, Trump's spokeswoman, said the $174,000 bill was normal, and that it accounted for a variety of other costs. "What I can tell you is that when the President or First Lady travels, there are people who travel ahead on the advance team to ensure safety measures, medical care, communications, motorcade needs and logistics are all in place," she told Quartz. "Mrs. Trump travels with a much smaller contingent of staff than that of her predecessors, but the entities I mentioned above are legally required for all official travel." Melania Trump greeting Canadian Prime Minister Justin Trudeau in Washington. AP Photo/Pablo Martinez Monsivais But Grisham's statement is misleading, according to Quartz. The $174,000 cost covered only Trump herself. The costs for her advance team — who takes care of the logistics and transportation issues — was calculated separately. Their hotel bills were $18,000 in total, with additional costs for transportation. It's not clear how Trump spent that much money. The total is drastically above the highest possible rate for a room at each hotel, and Trump didnt stay overnight at either of them in any case. Her Toronto hotel bills were separated into six different charges, labeled as "miscellaneous foreign awardees" in spending records. Trump's hotel spending habits have been questioned before. During a one-day visit to Cairo earlier this year, she racked up $95,000 in hotel bills. She also didn't stay the night.
Melania Trump's One-Day Toronto Trip Cost $174,000 In Hotel Bills	https://www.glamour.com/story/melania-trump-174000-hotel-bill-toronto	Melania Trump's travel costs are once again making headlines. Her October trip to Africa included a $95,050 bill from a Cairo hotel where she didn't even spend the night. And now another short trip is coming under scrutiny. While most of us may remember the 2017 Invictus Games in Toronto as the first time Meghan Markle and Prince Harry officially appeared in public together as a couple, it was also the first time Mrs. Trump and the British royal met. The First Lady was on hand to lead the U.S. delegation at the annual event for wounded veterans and also took a meeting with Harry. Government records obtained by Quartz show that the First Lady's hotel bill totaled approximately $174,000 of taxpayer money. According to Quartz, the total does not include costs for her advance team ($18,000) or any transportation costs ($21,000). The First Lady's itinerary for the Canadian trip shows her arriving in Toronto close to noon and back in Washington, D.C., around midnight, meaning she did not spend the night at the hotel in question. "What I can tell you is that when the President or First Lady travels, there are people who travel ahead on the advance team to ensure safety measures, medical care, communications, motorcade needs and logistics are all in place," said Mrs. Trump's spokeswoman, Stephanie Grisham when asked about specific expenses by Quartz. "Mrs. Trump travels with a much smaller contingent of staff than that of her predecessors, but the entities I mentioned above are legally required for all official travel." Maybe there's a more complicated explanation for the hefty bill, but we're quite sure that every trip FLOTUS takes going forward will be analyzed closely. And it's certainly not going to help quell criticisms that have run rampant since the "I Really Don't Care, Do U?" jacket incident.
Melania Trump's hotel charges were $174,000 for a day trip to Toronto: records 	https://www.aol.com/article/news/2018/11/17/melania-trumps-hotel-charges-were-dollar174000-for-a-day-trip-to-toronto-records/23592256/?guccounter=1&guce_referrer=aHR0cHM6Ly93d3cuZ29vZ2xlLmNvbS8&guce_referrer_sig=AQAAAJhc98omrc3YnzVfpnwn46uqw4ZoZoDYiq625j4FCcmjdvxF7PE7VyQlbjdUQaalxft7ETHqtvU5nZbEJVKXnSKpSEE0aGLD1vlvS_3Jq7F5zQEUN8__cfcoCBbA4P4K4qQkpmPE9YPOkmdCkpIFopv6dcp0_cqdfZV6o5rICNom	First lady Melania Trump’s hotel bills for a day trip to Toronto last year added up to an astonishing $174,000, according to federal expense documents reported by Quartz. She did not spend the night. The startling expenditures dwarfed the $95,000 cost of Trump’s stop at the InterContinental Cairo Semiramis, where she stayed for less than half a day at the end of her tour of Africa last month. Trump’s spokeswoman Stephanie Grisham implied in an email to Quartz that the first lady’s “advance team” was responsible for some of the costs. The team ensures “safety measures, medical care, communications, motorcade needs and logistics are all in place,” she wrote. They’re all “legally required for official travel,” she added. But federal expense documents reported separate, additional costs for the advance team that added up to $18,000, according to Quartz. RELATED: Melania Trump's most expensive outfits The hotels are not identified in the expenses. They’re listed simply as “hotel rooms” under a heading of “miscellaneous foreign awardees” in the federal expense documents. There are six hotel charges ranging from nearly $12,000 to nearly $49,000, but the documents don’t offer details. (Other charges were for $16,000, $19,000, $35,000 and $43,000.) The first lady was in Toronto to help kick off the Invictus Games, which Britain’s Prince Harry started in 2014 for disabled vet athletes. A pool press report covering the Sept. 23 trip referred to stops that day at the Sheraton, the Ritz Carlton, a return to the Sheraton, and a get-together in the evening with Canadian Prime Minister Justin Trudeau to watch the opening ceremony of the games at the Air Canada Center. The first lady’s hotel stops included a 20-minute meeting with Prince Harry (at the Sheraton), and a reception later with 100 competing U.S. athletes, also at the Sheraton, where she gave a short speech, according to the pool report. Trump’s visits began just after noon and she returned just after midnight to Andrews Air Force Base. President Donald Trump was spending the weekend at his golf club in New Jersey. Grisham was infuriated by news reports about the bill from Melania Trump’s Cairo visit earlier this month, slamming “irresponsible” journalism after some initial reports said the first lady had spent the night. Grisham noted that Trump had, in fact, only spent some six hours in the hotel. The first lady’s trip to Toronto also incurred $21,000 in transportation costs, Quartz reported. This article originally appeared on HuffPost. More from : Michelle Obama explains that look on her face during Trump's Inauguration Bob Woodward reveals what Donald Trump trait gave him ‘a chill’ Kellyanne Conway defends White House mic grab, says women shouldn't be 'swiped' at
Hundreds Of Birds Dead During 5G Experiment In Netherlands	https://www.captain-planet.net/hundreds-of-birds-dead-during-5g-experiment-in-netherlands/	About a week ago at The Hague, many birds died spontaneously, falling dead in a park. You likely haven’t heard a lot about this because it seems keeping it quiet was the plan all along. However, when about 150 more suddenly died — bringing the death toll to 297 — some started to take notice. And if you are looking around that park you might have seen what is on the corner of the roof across the street from where they died: a new 5G mast, where they had done a test, in connection with the Dutch railway station, to see how large the range was and whether no harmful equipment would occur on and around the station. And harm happened, indeed. Immediately afterward, birds fell dead from the trees. And the nearby ducks that were swimming seemed to react very oddly as well; they were simultaneously putting their heads underwater to escape the radiation while others flew away, landing on the street or in the canal. Again, almost at the exact same time that those animals died, near the station, Holland Spoor was tested with a 5G transmitter mast. “If they all got heart-failure with an healthy body, no signs of any virus, no bacterial infection, healthy blood, no poisons found etc. etc. The only reasonable explanation is, that it is from the new 5G Microwaves having an huge effect of all birds hearts! … It heavily resonates with certain ERRATIC PULSED Microwaves (millions per second!) which can be proven to have biological effects on organs! … Am not kidding here! … “Some people assume Microwaves at lower wattage “can not harm” because “it does not cook you” … that very flawed “logic” is what they want you to repeat over and over! … Search in “Google Scholar Search Site”: Biological Effects of Non-ionizing Microwaves and be ready to be shocked how stupid most sheeple really are in believing blindly the so called “experts” & ” authorities” of FCC, Telecom & Wireless Industry propaganda!” — John Kuhles, founder of Fb.com/groups/Stop5G & Fb.me/Stop5Gowner of Stop5G.net This wasn’t proof though. It was initially just conjecture. All the information that follows comes from John Kuhles’ public Facebook page (not being a native English speaker, I have cleaned a little of it up but mostly left it intact for you): In the meantime (30-10-2018) received some more information. The birds that fell massively dead would be the victims of an experiment, performed on those days in The Hague, where RF radiation was tested with a peak frequency of 7.40 GHz. This information comes from one source and should still be confirmed, if possible. It is not clear at this moment whether tests with 5G transmission masts have been carried out again, but so far everything points in the direction of 5G as the most probable cause. Earlier, crazy things happened, such as with cows in Groningen’s Loppersum last year, where it was also tested with 5G. But also how in Switzerland a complete herd of cows collapsed in a ravine when there was tested with 5G. Source 1: MSN.com Oct. 26, 2018 In the Huijgenspark in The Hague, more than a hundred starlings have fallen dead from the trees in recent days. It is a mystery what happened to the animals. The Dutch Food and Consumer Product Safety Authority (NVWA) is having a number of birds examined in the laboratory of Wageningen Bioveterinary Research. Parts of the park are blocked and dogs are no longer allowed to be let out. The dead birds are always cleaned up as quickly as possible. Yet it is a lugubrious scene. Council member Robert Barker of the Party for the Animals had the feeling of being on a ‘crime scene’. “The fact that so many birds fall from the sky at this location must have a cause and must be investigated. If there is talk of poisoning, then we have to take a hard time. ” It is also possible that the birds have a disease. “In any case, it’s going fast. The animals are not emaciated, do not seem ill. They just fall dead from the tree, “says employee Sharon Lexmond of bird shelter De Wulp. A possible link was established between 5G trials in Groningen and the ‘crazy cows there, as they were called, see: Stopumts.nl Further info from Facebook: Trondheim (3rd city of Norway) also attacked the birds. After 6 months there was no toxicological report yet. It has also happened in Sweden, Australia, United States. Nyhetsspeilet.no In the meantime (30-10-2018) received some more information. The birds that fell massively dead would be the victims of an experiment, performed on those days in The Hague, where RF radiation was tested with a peak frequency of 7.40 GHz, which corresponds to a wavelength of 4.05 cm. This wavelength is of the same order of magnitude as the size of the starlings. This may be important because of possible resonance effects. The mast in question is about 400 meters from where the starlings have fallen dead. This information comes from one source and should still be confirmed, if possible. Source 2: https://www.rtlnieuws.nl Mysterious bird deaths in The Hague: dead starlings fall massively from the sky Oct. 26, 2018 For several days in a row, dead starlings fall from the sky in the Huijgenspark in The Hague. It is estimated that around 150 birds have already lost their lives. What is the cause of this is being investigated? The Dutch Food and Consumer Product Safety Authority, the Dutch Wildlife Health Center and a Wageningen University laboratory are investigating the cause of death of the starlings. A veterinarian of bird care De Wulp performed a number of birds last week. She only found internal bleeding and no trace of poison. Contaminated water… ”Last year we had the same situation at the Haagse Hogeschool, where it was renovated at the time ”, says an employee of the Animal Ambulance.” Then dozens of dead jackdaws were found, which were probably poisoned because they had been drinking polluted water. What is going on right now is really speculating. Hopefully, we know more next week, because this is not normal. ” No trace of poison. Source 3: Dierenhospitaal and Dierenambulance The Hague Again, dead starlings have been found in the Huijgenspark in The Hague. More than ninety dead birds were spread across the park in the Stationsbuurt. We took the birds. Last time, five of the deceased starlings were examined by a local specialist. It did not show signs of poison, but only internal bleeding in two copies. The newly found starlings are examined by the specialized Wageningen Bioveterinary Research laboratory in Lelystad and the Dutch Wildlife Health Center in Utrecht. The municipality has promulgated a ban on dogs in the area because the cause of the mortality is unclear. Poisoning is taken into account. The area has been blocked by the police. Source 4: Birdcare the curlew Oct. 26, 2018 How is the current state of affairs with regard to the dead starlings? Last Friday, Wednesday and Thursday, a total of +/- 150 deceased starlings were found in the Huijgenspark in The Hague. OnSundayy, Thursday and Friday our veterinarian visited and carried out a total of 15 animals and collected material for further research. On Wednesday, the NVWA collected a cargo of birds that were examined in Lelystad on West Nile Virus. The negative result has now arrived. On Thursday, the Dutch Wildlife Health Center also picked up a load of birds and we got a result today. Both veterinarians (ours and those from the DWHC) discussed their findings with each other. (Birds in good condition, some small bleeding in some animals, good for the upcoming winter, empty stomachs.) It is a very strange story! Components of the deceased birds now go to various institutes for further research into rat poison and various viruses. On Monday the preparations are ready and the microscopic examination is started. In the meantime, the municipality has instituted an outlet ban in the park until further notice. We will keep you informed and hope that we will get a quick answer regarding the bizarre deaths. Source 5: New contribution from Facebook: Nov. 2, 2018 There is, of course, no certainty about the cause. There are stronger 4G and IoT channels in the vicinity near the park. In July there was also 5G tested, but then the birds did not swarm and they did not arrive in the park. IoT has also been active since 30 October 2017, so it is only briefly active with a safe distance (for humans) of 7.4 meters and with a 2000 Watt transmitter at less than 200 meters from the park main beam direction exactly across the park. Also at the same distance LTE channels and at another location also LTE stations etc. Here again exactly about the park. The truth about the safety of 5G is that it’s not safe. And while letters have been sent and people have raised the alarm, the “powers that be” don’t seem to care. All in the name of money and industry. Reference: Healthnutnews.com
Are 5G Experiments Killing Birds: Is This A Conspiracy?	http://www.roamingbuzz.com/are-5g-experiments-killing-birds-is-this-a-conspiracy/	Technology is on a never-ending cycle where it becomes more and more advanced with each day that passes. It’s surreal to see how far technology has come over the past couple of years. Wireless technology has been one of the major drivers in today’s technological advancements and economic development. In 2010 Sprint released the first WiMAX smartphone in the US, the HTC Evo 4G. This allowed people to experience faster and more efficient internet speeds. But like all things nowadays, something newer and better is around the corner. The fifth generation of wireless technology that is referred to as 5G, is on its way. In fact, Verizon has begun to activate its new home internet service that runs atop its 5G wireless network. They call it 5G Home and is being used in Houston, Indianapolis, Los Angeles, and Sacramento – with speeds reaching 300 Mbps! As the 5G network develops, the next generation wireless network has got the ability to create extended economic opportunities for millions of people, increase growth, and allow other technologies to develop along the way like smart appliances on the IoT, autonomous vehicles, robotics and automation, better entertainment services, and incredible internet speeds. . However, while all this sounds outstanding, not everyone is on board, yet. There is a number of reasons for this, but they mainly relate to health concerns. While 5G network would allow super speed downloads, this would require cell phone towers to be located closer to homes/offices than before. In the U.S. it is said that they are going to install around 300,000 new towers. This is causing outrage amongst local neighborhoods due to the high-frequency waves that support the faster speeds. Locals say locating the towers so close to their homes is a serious health concern and could even cause cancer due to the high level of electromagnetic radiation. Why is There Controversy Surrounding a 5G Network? Speculation about 5G towers being located next to domestic areas has been going around since 2017. An event that occurred in The Netherlands has sparked some outrage and more worries and concerns. In October 2018, hundreds of birds in a park in the Netherlands suddenly started falling from the trees and dying during a suspected 5G experiment around The Hague. It was also reported that nearby ducks that were swimming began to react oddly, concurrently putting their heads underwater in what is believed to be, escape of the radiation, while other flew away. While there is no concrete evidence that suggests a direct link to the death of the birds to the experiment that was taking place, others are convinced that the spontaneous death of hundreds of birds was not just a coincidence. Between the 19th of October and the 3rd of November 2018, 339 dead birds were found. The municipality is unable to rule out their deaths being a result of poisoning however, there was a dog ban ordered around the park. The Netherlands Food and Consumer Product Safety Authority confirmed that viruses like West Nile and Usutu were not the cause of death and have not ruled out any other viruses or poisoning as of 12th November 2018. A team of experts is investigating the cause of deaths and the incident links. While others claim that the reason for the deaths is related to the experiment that was taking place, others say it was just a freak accident. The Netherlands is not the first place such an event has occurred. In fact, back in 2011 in Arkansas, Louisiana, and certain areas of Sweden, it was reported that thousands of birds mysteriously and almost simultaneously died. It was reported by the Associated Press that these mass bird deaths are quite common and unexplained. Is the 5G experiment to blame? 5G network developers promise faster data rates in addition to reduced energy and financial cost. These developments will arise from the use of higher frequency radio bands and the development of more advanced cellular towers. When new wireless technologies such as 5G come about, they are assigned higher radio frequencies. This is due to the fact that the tech needs higher frequencies as it is typically not used and move data at much faster speeds. The issue is that higher frequencies signals do not travel as far as lower frequencies so more signal towers or MIMOs will have to be installed anywhere 5G is offered. In Europe, 5G will make use of three frequency ranges: a low-frequency 700MHz “coverage layer”, a 3.4-3.8GHz band which will be the primary bandwidth and a “super data layer” in the highest frequency 24.25-27.5GHz band. However, it is important to note that these are theoretical ranges and were not the ranges tested in The Netherlands. Nevertheless, all these frequencies are considered to be safe according to the International Commission on Non-Ionizing Radiation Protection. The radio waves that are used in cellular technology can be described both by their frequency and in terms of the energy being used to carry that frequency. Dr. Eric van Rongen, member of HCN and the chairman of ICNIRP stated that the levels of exposure in the 5G frequency range are similar and can be compared to the levels of exposure in the current 3G and 4G networks, and thus, much lower than the exposure limits. He also stated that the only way one could imagine the death of the birds being related to the experiment is if there were very high exposure levels that result in considerable heating. However, the levels that were being used for the experiment were not strong enough for that to happen. So what’s the verdict? The truth is, no one really knows what caused the death of the birds. We can only assume and speculate until there is a hard proof that confirms that the 5G network experiments are to blame. Until then, people will continue to come up with all sorts of claims and conspiracies. 5G has the power to take technology to the next level, further modernizing our generation by providing greatly enhanced speed, coverage, and responsiveness of wireless networks. And just like many of the modern advancements in the fields of technology and innovation, there will be resistance and there will be protests against the development by people inside and outside the industry. However, as things progress and tests return results in favor of the technology, evidence will reflect the impact on health and radiation exposure. The long-term effects will require more observation and to be determined in the future. At this point in time, it is recommended to stay vigilant and have a healthy dose of skepticism. It is recommended that we do not jump into conclusions without evidence and not to indulge in propagating unverified claims and conspiracies, especially if such claims are spread around by individuals who have limited understanding of the subject matter and have no experience in the industry, academically and experimentally. More Articles: Flexiroam won the prestigious World Travel Awards for The World’s Leading Travel Communications Provider for 2018 What is an eSIM? How eSIM works? Follow us on: Facebook: https://www.facebook.com/flexiroam/ Twitter: @flexiroam Instagram: @flexiroam Visit our website: https://www.flexiroam.com/
Unexplained Mass Bird Deaths During Dutch 5G Experiment	https://consciouslifenews.com/unexplained-mass-bird-deaths-during-dutch-5g-experiment/11162674/#	By Erin Elizabeth | Principia Scientifica Editor's Note: While we mostly ever hear the alleged good news about 5G, and about how its infrastructures continues to be put in place, some health practitioners and others have stated substantial concerns about its safety to human beings, as well as to the flora and fauna around us. You may find the following article to be disturbing, and beg the question, “At what price progress?” Or you may ask if the birds discussed in the following article are the proverbial “canaries in the coalmine?” Please let us know what you think of this story in our comments section below. Unexplained Mass Bird Deaths During Dutch 5G Experiment. About a week ago at The Hague, many birds died spontaneously, falling dead in a park. You likely haven’t heard a lot about this because it is being kept quiet. However, when about 150 more suddenly died – bringing the death toll to 297 – people started to notice. And if you are looking around that park you see what stands on the corner of the roof across the street from where they died: a new 5G mast, where they had done a test, in connection with the Dutch railway station, to see how large the range was and what environmental impact would occur on and around the station. And harm sure did happen. Immediately the test began birds started to fall dead from the trees. And the nearby ducks that were swimming seemed to react very oddly as well; they were simultaneously putting their heads underwater to escape the radiation while others flew away, landing on the street or in the canal. Talk about coincidences. At the exact same time that those animals died, near the station, the new Holland Spoor 5G transmitter mast was being tested. “If they all got heart-failure despite having healthy bodies, no signs of any virus, no bacterial infection, healthy blood, no poisons found etc. etc then the only reasonable explanation is that it is from the new 5G Microwaves interfering with all the birds hearts! … The 5G mast heavily resonates with certain ERRATIC PULSED Microwaves (millions per second!) which can be proven to have biological effects on organs! … We are not kidding here! … Some people assume Microwaves at lower wattage “can not harm” because “it does not cook you” … that very flawed “logic” is what they want you to repeat over and over! … Search in “Google Scholar Search Site”: Biological Effects of Non-ionizing Microwaves and be ready to be shocked how stupid most sheeple really are in believing blindly the so called “experts” & ” authorities” of FCC, Telecom & Wireless Industry propaganda!” -John Kuhles, founder of Fb.com/groups/Stop5G & Fb.me/Stop5G owner of Stop5G.net For the Authorities this wasn’t proof though. It was conjecture. All the information that follows comes from John Kuhles’ public Facebook page (not being a native English speaker, I have cleaned a little of it up but mostly left it intact for you): In the meantime (October 30, 2018) we received some more information. The vast number of dead birds are the victims of an experiment, performed then at The Hague, where RF radiation was tested with a peak frequency of 7.40 GHz. This information comes from one source and needs further confirmation, if possible. It is not clear at this moment whether tests with 5G transmission masts have been carried out again, but so far everything points in the direction of 5G as the most probable cause. Earlier, crazy things happened, such as with cows in Groningen’s Loppersum last year, where it was also tested with 5G. But also how in Switzerland a complete herd of cows collapsed in a ravine where there was also 5G testing. Source 1: www.msn.com/nl-nl/nieuws/opmerkelijk/meer-dan-honderd-vogels-vallen-dood-uit-bomen-in-den-haag/ar-BBOV8d7 [Read more here] Robert O’Leary, JD BARA, has had an abiding interest in alternative health products & modalities since the early 1970’s & he has seen how they have made people go from lacking health to vibrant health. He became an attorney, singer-songwriter, martial artist & father along the way and brings that experience to his practice as a BioAcoustic Soundhealth Practitioner, under the tutelage of the award-winning founder of BioAcoustic Biology, Sharry Edwards, whose Institute of BioAcoustic Biology has now been serving clients for 30 years with a non-invasive & safe integrative modality that supports the body’s ability to self-heal using the power of the human voice. Robert brings this modality to serve clients in Greater Springfield, Massachusetts and New England (USA) & “virtually” the world. He can also be reached at romayasoundhealthandbeauty@gmail.
